fpr,tpr,threshold
0.3317757009345794,0.9791666666666666,0.021666666666666667
0.3464316057774002,0.9821428571428571,0.02
0.36682242990654207,0.9821428571428571,0.018333333333333333
0.3895497026338148,0.9851190476190477,0.016666666666666666
0.44519966015293116,0.9851190476190477,0.013333333333333334
0.4759983007646559,0.9880952380952381,0.011666666666666667
0.5210280373831776,0.9910714285714286,0.01
0.5681818181818182,0.9940476190476191,0.008333333333333333
0.6293542905692439,0.9940476190476191,0.006666666666666667
0.6964740866610025,0.9970238095238095,0.005
0.7886576040781649,1.0,0.0033333333333333335
0.9014443500424809,1.0,0.0016666666666666668
1.0,1.0,0.0
