threshold,tp,tn,fp,fn,precision,recall,f1,fpr,positive_rate
0.595,83,4702,6,253,0.9325842696629213,0.24702380952380953,0.3905882352941176,0.001274426508071368,0.017644726407613005
0.6,80,4703,5,256,0.9411764705882353,0.23809523809523808,0.3800475059382422,0.0010620220900594733,0.016851704996034892
0.605,77,4703,5,259,0.9390243902439024,0.22916666666666666,0.3684210526315789,0.0010620220900594733,0.01625693893735131
0.61,73,4704,4,263,0.948051948051948,0.21726190476190477,0.35351089588377727,0.0008496176720475786,0.015265662172878667
0.615,71,4704,4,265,0.9466666666666667,0.2113095238095238,0.34549878345498786,0.0008496176720475786,0.01486915146708961
0.62,67,4704,4,269,0.9436619718309859,0.19940476190476192,0.32923832923832924,0.0008496176720475786,0.014076130055511499
0.625,60,4704,4,276,0.9375,0.17857142857142858,0.30000000000000004,0.0008496176720475786,0.012688342585249802
0.63,55,4705,3,281,0.9482758620689655,0.1636904761904762,0.27918781725888325,0.000637213254035684,0.011498810467882634
0.635,54,4705,3,282,0.9473684210526315,0.16071428571428573,0.2748091603053435,0.000637213254035684,0.011300555114988104
0.6399999999999999,51,4705,3,285,0.9444444444444444,0.15178571428571427,0.26153846153846155,0.000637213254035684,0.01070578905630452
0.6449999999999999,49,4705,3,287,0.9423076923076923,0.14583333333333334,0.2525773195876289,0.000637213254035684,0.010309278350515464
0.6499999999999999,49,4705,3,287,0.9423076923076923,0.14583333333333334,0.2525773195876289,0.000637213254035684,0.010309278350515464
0.6549999999999999,49,4705,3,287,0.9423076923076923,0.14583333333333334,0.2525773195876289,0.000637213254035684,0.010309278350515464
0.6599999999999999,49,4706,2,287,0.9607843137254902,0.14583333333333334,0.2532299741602067,0.0004248088360237893,0.010111022997620936
0.6649999999999999,47,4706,2,289,0.9591836734693877,0.13988095238095238,0.24415584415584418,0.0004248088360237893,0.00971451229183188
0.6699999999999999,45,4706,2,291,0.9574468085106383,0.13392857142857142,0.23498694516971277,0.0004248088360237893,0.009318001586042823
0.6749999999999999,44,4706,2,292,0.9565217391304348,0.13095238095238096,0.23036649214659688,0.0004248088360237893,0.009119746233148296
0.6799999999999999,42,4706,2,294,0.9545454545454546,0.125,0.22105263157894736,0.0004248088360237893,0.008723235527359239
0.6849999999999999,41,4706,2,295,0.9534883720930233,0.12202380952380952,0.21635883905013192,0.0004248088360237893,0.00852498017446471
0.69,38,4707,1,298,0.9743589743589743,0.1130952380952381,0.2026666666666667,0.00021240441801189465,0.007731958762886598
0.695,37,4707,1,299,0.9736842105263158,0.11011904761904762,0.19786096256684493,0.00021240441801189465,0.00753370340999207
0.7,37,4707,1,299,0.9736842105263158,0.11011904761904762,0.19786096256684493,0.00021240441801189465,0.00753370340999207
0.705,37,4707,1,299,0.9736842105263158,0.11011904761904762,0.19786096256684493,0.00021240441801189465,0.00753370340999207
0.71,37,4707,1,299,0.9736842105263158,0.11011904761904762,0.19786096256684493,0.00021240441801189465,0.00753370340999207
0.715,37,4707,1,299,0.9736842105263158,0.11011904761904762,0.19786096256684493,0.00021240441801189465,0.00753370340999207
0.72,36,4707,1,300,0.972972972972973,0.10714285714285714,0.19302949061662197,0.00021240441801189465,0.007335448057097542
0.725,34,4707,1,302,0.9714285714285714,0.10119047619047619,0.18328840970350405,0.00021240441801189465,0.006938937351308485
0.73,33,4707,1,303,0.9705882352941176,0.09821428571428571,0.17837837837837836,0.00021240441801189465,0.0067406819984139575
0.735,31,4707,1,305,0.96875,0.09226190476190477,0.16847826086956524,0.00021240441801189465,0.006344171292624901
